	Date	West Income	NorthEast Income	South Income	MidWest Income	NorthEast HP	MidWest HP	West HP	South HP	Avg West HP Chg	West Income Chg	Avg West HP Chg (Norm)	West Income Chg (Norm)	Avg NorthEast HP Chg	NorthEast Income Chg	Avg NorthEast HP Chg (Norm)	NorthEast Income Chg (Norm)	Avg MidWest HP Chg	MidWest Income Chg	Avg MidWest HP Chg (Norm)	MidWest Income Chg (Norm)	Avg South HP Chg	South Income Chg	Avg South HP Chg (Norm)	South Income Chg (Norm)
11	1/1/1986	78793	81553	70048	72566	151450	102800	116875	95275	0.04445933869526364	0.02544314011296489	-0.015137653412788984	0.01461525804265539	0.2537251655629138	0.04640987476904135	0.18845533288498956	0.033818371961180024	0.0708333333333333	0.03831845238095233	0.020360977210998055	0.02845117563761084	0.07020499859590013	0.05155072507280756	0.0172279198702577	0.04036112728733765
12	1/1/1987	80205	83376	71122	74790	172275	116100	135550	106275	0.15978609625668438	0.017920373637251963	0.10018910414863176	0.007092491566942463	0.13750412677451296	0.022353561487621576	0.0722342940965887	0.009762058679760256	0.12937743190661477	0.030647961855414296	0.07890507578427952	0.02078068511207281	0.11545526108632909	0.015332343535861215	0.06247818236068666	0.004142745750391308
13	1/1/1988	79993	86264	70816	76244	181175	123050	156000	114775	0.15086683880486906	-0.0026432267315005253	0.09126984669681644	-0.013471108801810025	0.05166158757800021	0.03463826520821334	-0.013608245099924046	0.022046762400352016	0.05986218776916452	0.01944110175157099	0.009389831646829272	0.009573825008229503	0.07998118089861217	-0.0043024661848654056	0.027004102172969745	-0.015492063970335312
14	1/1/1989	83283	90585	72108	77537	188625	130100	173575	121275	0.11266025641025634	0.04112859875239083	0.05306326430220372	0.030300716682081334	0.041120463640127	0.050090420105721956	-0.024149369037797255	0.03749891729786063	0.05729378301503463	0.0169587115051677	0.006821426892699378	0.007091434761826216	0.05663254192986278	0.018244464527790383	0.0036554632042203536	0.007054866742320476
15	1/1/1990	82647	86144	70493	77355	190225	131275	181150	122425	0.04364107734408762	-0.0076366125139584184	-0.015955914763965004	-0.018464494584267917	0.008482438701126638	-0.04902577689462939	-0.05678739397679762	-0.061617279702490715	0.00903151421983095	-0.0023472664663322096	-0.0414408419025043	-0.012214543209673695	0.009482580911152283	-0.022396960115382503	-0.04349449781449014	-0.03358655790085241
16	1/1/1991	80418	84915	69213	75162	189475	134700	175625	123100	-0.03049958597847091	-0.026970125957385016	-0.09009657808652353	-0.037798008027694514	-0.003942699434879793	-0.014266809063892993	-0.06921253211280405	-0.026858311871754314	0.026090268520281956	-0.02834981578437079	-0.024382087602053293	-0.03821709252771228	0.005513579742699504	-0.01815783127402726	-0.04746349898294292	-0.029347429059497165
17	1/1/1992	81234	83677	69301	74793	196750	136500	158575	127425	-0.0970818505338078	0.010146982018951034	-0.15667884264186044	-0.000680900051358466	0.03839556669745359	-0.014579285167520495	-0.02687426598047067	-0.027170787975381815	0.013363028953229383	-0.004909395705276598	-0.037109327169105866	-0.014776672448618083	0.03513403736799359	0.0012714374467224232	-0.017843041357648838	-0.009918160338747484
18	1/1/1993	84461	88119	72815	76343	184150	143225	162125	132925	0.022386883178306727	0.039724745796095196	-0.0372101089297459	0.028896863725785697	-0.0640406607369759	0.05308507714186694	-0.12931049341490014	0.04049357433400562	0.049267399267399314	0.020723864532777192	-0.0012049568549359346	0.010856587789435707	0.04316264469295672	0.05070633901386712	-0.009814434032685705	0.03951674122839721
19	1/1/1994	83332	92293	74735	78951	199900	152000	169350	135900	0.04456437933693147	-0.01336711618380082	-0.015032612771121154	-0.02419499825411032	0.08552810209068684	0.04736776404634635	0.020258269412762583	0.034776261238485026	0.061267236865072405	0.034161612721533174	0.010794880742737156	0.024294335978191688	0.022381041940944035	0.026368193366751447	-0.03059603678469839	0.01517859558128154
20	1/1/1995	86355	88962	75182	84027	215275	156525	169250	140350	-0.000590493061706554	0.0362765804252867	-0.06018748516975918	0.0254486983549772	0.07691345672836425	-0.03609157790948392	0.01164362405043999	-0.04868308071734524	0.029769736842105265	0.06429304252004409	-0.020702619280229984	0.0544257657767026	0.0327446651949963	0.005981133337793487	-0.020232413530646122	-0.00520846444767642
